   1.5890000e+03	   1.7340000e+03	
   1.4180000e+03	   1.6000000e+03	
   1.4580000e+03	   1.5530000e+03	
   1.0200000e+03	   1.1710000e+03	
   1.0630000e+03	   1.1010000e+03	
   8.3200000e+02	   8.7100000e+02	
   8.2200000e+02	   8.8100000e+02	
   9.8000000e+02	   6.0500000e+02	
   9.7700000e+02	   5.9800000e+02	
   9.9500000e+02	   4.8600000e+02	
   1.0180000e+03	   4.4700000e+02	
   1.0210000e+03	   4.4200000e+02	
   1.1370000e+03	   1.6700000e+02	
   1.1440000e+03	   1.5800000e+02	
   1.1790000e+03	   1.0900000e+02	
   1.1710000e+03	   9.9000000e+01	
